商品id,一级品类,二级品类,商品标题,商品价格,省份,商品销量,店铺名称,店铺标签,先用后付,退货宝,风格,面料,版型,适用季节
\t988808071076,汽车用品,保养,保养高品质,1013.26,重庆,1万+人付款,渝优品汽车店,回头客3千,,,,,,
\t498067454617,宠物用品,食品,秋季食品宽松正品,218.96,陕西,2000+人付款,品质宠物店专卖店,回头客1万,,,,,,春季
\t861071946747,玩具乐器,乐器,乐器官方正品,2050.25,山东,200+人付款,优品玩具店,极速发货,,,,,,
\t918284456498,医药健康,计生用品,计生用品高品质,679.09,广东,5万+人付款,时尚医药店,回头客5万,,,,,,
\t417852574660,农资园艺,盆栽,盆栽高品质,715.16,江苏,2000+人付款,品质农资店旗舰店,回头客1万,,,,,,
\t276706630748,美妆护肤,香水,香水2025新款,623.55,广东,1万+人付款,品质美妆店专卖店,回头客1万,,,,,,
\t679981191598,汽车用品,清洁,清洁2025新款,757.34,安徽,100+人付款,优品汽车店专卖店,正品保障,,,,,,
\t220587172710,玩具乐器,儿童玩具,儿童玩具高品质,434.31,河北,2万+人付款,诚信玩具店,回头客3千,,,,,,
\t501710803320,母婴用品,童装,秋季童装修身2025新款,524.52,广东,2000+人付款,品质母婴店,金牌卖家,,,,丝光棉,,冬季
\t811397478469,玩具乐器,模型,模型高品质,1957.77,内蒙古,5000+人付款,时尚玩具店专卖店,回头客10万,,,,,,
\t954750705932,钟表珠宝,手表,手表高品质,3065.57,浙江,500+人付款,品质钟表店旗舰店,回头客10万,,,,,,
\t352975954742,礼品鲜花,礼盒,礼盒官方正品,1762.66,江苏,5000+人付款,诚信礼品店旗舰店,金牌卖家,先用后付,,,,,
\t180719676821,图书音像,教材,教材高品质,123.62,辽宁,50万+人付款,品质图书店,金牌卖家,先用后付,,,,,
\t255962663032,美妆护肤,香水,香水高品质,158.25,江苏,1万+人付款,时尚美妆店,回头客10万,,,,,,
\t567085583220,农资园艺,盆栽,盆栽2025新款,511.4,吉林,2000+人付款,品质农资店,回头客10万,,,,,,
\t543844355859,母婴用品,辅食,辅食宽松2025新款,1269.12,浙江,2万+人付款,时尚母婴店旗舰店,皇冠店铺,,,,丝光棉,,秋季
\t921770258877,食品生鲜,粮油,粮油2025新款,336.41,甘肃,500+人付款,品质食品店旗舰店,回头客10万,,,,,,
\t880603994503,家居生活,家具,家具官方正品户外,300.47,重庆,2000+人付款,优品家居店,正品保障,,,,,,
\t223113260131,家居生活,收纳,收纳官方正品办公,2880.23,北京,2000+人付款,品质家居店旗舰店,5年老店,先用后付,,,,,
\t600034301704,美妆护肤,身体护理,身体护理高品质,386.87,广东,2000+人付款,优品美妆店,皇冠店铺,,退货宝,,,,
\t653196376634,运动户外,运动服,秋季运动服宽松热销,830.64,辽宁,500+人付款,品质运动店,5年老店,,,时尚风,,标准型,春秋季
\t310136660288,母婴用品,童装,春季童装宽松热销,630.68,重庆,1000+人付款,品质母婴店,正品保障,,,通勤风,莫代尔,,
\t783612951170,汽车用品,清洁,清洁官方正品,201.96,内蒙古,5000+人付款,蒙诚信汽车店旗舰店,8年老店,,,,,,
\t415283851880,礼品鲜花,礼品,礼品高品质,399.56,上海,2000+人付款,时尚礼品店专卖店,回头客1万,,,,,,
\t100576056286,服饰鞋包,鞋靴,春季鞋靴宽松2025新款,1100.63,四川,1000+人付款,川诚信服饰店,,,,通勤风,羊毛,,春季
\t373205337452,图书音像,教材,教材高品质,165.29,浙江,2000+人付款,品质图书店旗舰店,8年老店,,,,,,
\t715375970081,玩具乐器,手办,手办2025新款,2225.85,山东,500+人付款,时尚玩具店旗舰店,回头客10万,,退货宝,,,,
\t126563178396,母婴用品,玩具,玩具百搭热销,717.47,上海,200+人付款,沪诚信母婴店,,,,,,,
\t776712964562,美妆护肤,身体护理,身体护理2025新款,513.73,北京,1万+人付款,品质美妆店,,,,,,,
\t704741432415,农资园艺,肥料,肥料高品质,653.07,山东,1000+人付款,鲁诚信农资店旗舰店,回头客10万,,,,,,
\t546405865382,数码家电,耳机,耳机官方正品办公,4512.24,山东,500+人付款,诚信数码店,极速发货,,,,,,
\t780993208185,玩具乐器,乐器,乐器2025新款,1556.35,山东,100+人付款,时尚玩具店旗舰店,回头客3千,,,,,,
\t896322478945,医药健康,药品,药品官方正品,989.82,江西,1000+人付款,赣诚信医药店,回头客5万,,,,,,
\t741534272845,食品生鲜,零食,零食2025新款,56.12,江苏,2000+人付款,优品食品店专卖店,金牌卖家,,,,,,
\t285822668041,家居生活,家纺,家纺官方正品户外,569.01,北京,500+人付款,时尚家居店旗舰店,,,,,,,
\t827637604084,运动户外,运动鞋,冬季运动鞋宽松热销,912.43,广东,5000+人付款,品质运动店专卖店,皇冠店铺,,,休闲风,,修身型,夏季
\t676664625095,服饰鞋包,箱包,冬季箱包修身热销,1056.21,广东,100+人付款,粤品质服饰店专卖店,回头客5万,,,休闲风,,标准型,
\t740199272962,图书音像,经管,经管官方正品,45.53,山东,1万+人付款,诚信图书店,,,,,,,
\t702508024176,医药健康,保健品,保健品高品质,400.11,天津,2000+人付款,津优品医药店,极速发货,,,,,,
\t912668232969,图书音像,社科,社科官方正品,202.94,河北,500+人付款,优品图书店,皇冠店铺,,,,,,
\t899710383428,运动户外,健身器材,春季健身器材百搭2025新款,721.72,天津,2万+人付款,诚信运动店专卖店,正品保障,,,,,,夏季
\t860926709242,玩具乐器,手办,手办官方正品,417.9,河北,2000+人付款,诚信玩具店,,,,,,,
\t365280897023,母婴用品,纸尿裤,夏季纸尿裤修身正品,128.48,浙江,50万+人付款,浙时尚母婴店,金牌卖家,,,休闲风,,,秋季
\t325248776610,宠物用品,食品,秋季食品百搭热销,336.57,江苏,5万+人付款,品质宠物店,5年老店,,,通勤风,,,春季
\t460682657295,医药健康,保健品,保健品2025新款,586.89,上海,1万+人付款,品质医药店旗舰店,,,,,,,
\t199600672124,汽车用品,装饰,装饰2025新款,653.64,上海,5000+人付款,诚信汽车店,5年老店,,退货宝,,,,
\t438277770483,玩具乐器,儿童玩具,儿童玩具高品质,2106.89,河南,2000+人付款,时尚玩具店专卖店,正品保障,先用后付,,,,,
\t286555466083,礼品鲜花,永生花,永生花官方正品,1040.16,湖北,10万+人付款,鄂品质礼品店旗舰店,,,,,,,
\t527374365627,钟表珠宝,戒指,戒指官方正品,3083.47,山西,2000+人付款,时尚钟表店专卖店,回头客5万,,退货宝,,,,
\t881986812832,服饰鞋包,鞋靴,冬季鞋靴宽松热销,657.54,广东,2000+人付款,诚信服饰店,8年老店,,,,莫代尔,,冬季
\t494115578251,玩具乐器,模型,模型2025新款,373.78,香港,500+人付款,品质玩具店,正品保障,,,,,,
\t606908171120,食品生鲜,海鲜,海鲜2025新款,178.76,山东,2万+人付款,鲁品质食品店,回头客1万,先用后付,,,,,
\t913289572157,数码家电,家电,家电官方正品办公,4554.13,江苏,100+人付款,诚信数码店旗舰店,金牌卖家,,退货宝,,,,
\t680385766429,数码家电,家电,家电高品质家用,5518.72,上海,1000+人付款,时尚数码店,回头客5万,先用后付,,,,,
\t887847756156,美妆护肤,香水,香水高品质,358.81,浙江,5000+人付款,时尚美妆店旗舰店,8年老店,,退货宝,,,,
\t408718364667,医药健康,医疗器械,医疗器械高品质,1282.97,湖北,5000+人付款,优品医药店,金牌卖家,,,,,,
\t214047137128,汽车用品,装饰,装饰官方正品,760.69,浙江,500+人付款,优品汽车店旗舰店,金牌卖家,,,,,,
\t733095778032,图书音像,教材,教材官方正品,91.09,江西,2000+人付款,优品图书店,正品保障,,,,,,
\t938433910627,美妆护肤,面部护理,面部护理2025新款,178.6,广东,100+人付款,品质美妆店,正品保障,,,,,,
\t278372102716,宠物用品,用品,冬季用品宽松2025新款,296.27,河北,5000+人付款,时尚宠物店专卖店,金牌卖家,,,,,,春秋季
\t812305659976,数码家电,耳机,耳机高品质家用,609.56,云南,100万+人付款,滇诚信数码店,皇冠店铺,,,,,,
\t173954565954,美妆护肤,身体护理,身体护理2025新款,295.12,贵州,1000+人付款,优品美妆店,金牌卖家,,,,,,
\t801365613924,美妆护肤,彩妆,彩妆官方正品,299.28,广东,1000+人付款,诚信美妆店旗舰店,,,,,,,
\t539166256633,运动户外,户外装备,春季户外装备修身2025新款,935.23,河南,500+人付款,豫品质运动店旗舰店,极速发货,,,时尚风,,标准型,冬季
\t873932947316,礼品鲜花,鲜花,鲜花官方正品,1668.27,广东,2000+人付款,诚信礼品店,8年老店,,,,,,
\t398356921116,家居生活,家纺,家纺2025新款办公,383.11,四川,1万+人付款,时尚家居店,回头客1万,,,,,,
\t541097227567,玩具乐器,乐器,乐器2025新款,2450.59,宁夏,2000+人付款,品质玩具店专卖店,皇冠店铺,,,,,,
\t878282198176,数码家电,手机,手机高品质户外,2564.86,贵州,20万+人付款,品质数码店旗舰店,5年老店,,,,,,
\t764451102803,汽车用品,保养,保养2025新款,436.57,浙江,20万+人付款,优品汽车店,,,,,,,
\t617089725100,宠物用品,用品,秋季用品宽松正品,76.03,广东,200+人付款,粤品质宠物店,5年老店,先用后付,,休闲风,,,春秋季
\t716704914757,运动户外,运动服,夏季运动服修身2025新款,1507.64,广西,1000+人付款,诚信运动店,回头客10万,,,,,,
\t567287531131,数码家电,家电,家电2025新款家用,1834.67,广东,5万+人付款,品质数码店,5年老店,,,,,,
\t866495526157,农资园艺,肥料,肥料高品质,391.23,山东,1000+人付款,优品农资店,回头客5万,,,,,,
\t475772620456,钟表珠宝,耳环,耳环高品质,1171.52,黑龙江,2万+人付款,黑时尚钟表店,5年老店,,,,,,
\t406909763568,运动户外,户外装备,冬季户外装备宽松正品,907.49,浙江,5000+人付款,浙时尚运动店旗舰店,正品保障,先用后付,,时尚风,,宽松型,夏季
\t375936092993,汽车用品,保养,保养2025新款,899.79,四川,5万+人付款,川时尚汽车店,回头客10万,,,,,,
\t692651674530,医药健康,保健品,保健品2025新款,1259.3,天津,1万+人付款,诚信医药店旗舰店,正品保障,,退货宝,,,,
\t444281288973,图书音像,小说,小说2025新款,84.02,河南,50万+人付款,诚信图书店,,,,,,,
\t713628383279,宠物用品,玩具,夏季玩具百搭正品,371.61,广东,1000+人付款,品质宠物店专卖店,回头客3千,,,,,,
\t765355658746,汽车用品,装饰,装饰2025新款,418.59,山东,1000+人付款,时尚汽车店旗舰店,回头客3千,,,,,,
\t291338656457,母婴用品,玩具,春季玩具宽松2025新款,889.1,黑龙江,1万+人付款,诚信母婴店,正品保障,,,时尚风,莫代尔,,冬季
\t640459165074,宠物用品,服饰,服饰百搭正品,32.08,山东,1000+人付款,品质宠物店旗舰店,回头客1万,,,通勤风,,,夏季
\t516724422943,宠物用品,食品,冬季食品宽松2025新款,398.03,四川,1万+人付款,时尚宠物店专卖店,回头客3千,,,时尚风,,,秋季
\t695326572060,宠物用品,玩具,玩具百搭正品,361.88,广东,1000+人付款,粤品质宠物店旗舰店,正品保障,,,通勤风,,,
\t947745918169,母婴用品,玩具,春季玩具修身热销,291.22,辽宁,100万+人付款,诚信母婴店旗舰店,极速发货,,,通勤风,莫代尔,,冬季
\t598144378935,礼品鲜花,礼品,礼品2025新款,60.55,宁夏,2000+人付款,宁优品礼品店旗舰店,回头客5万,,,,,,
\t476624237233,服饰鞋包,女装,女装宽松2025新款,881.08,河南,2万+人付款,豫时尚服饰店专卖店,回头客5万,先用后付,,通勤风,羊毛,宽松型,冬季
\t383809947687,玩具乐器,儿童玩具,儿童玩具官方正品,541.64,江苏,2000+人付款,苏优品玩具店旗舰店,,,退货宝,,,,
\t411842986055,礼品鲜花,礼盒,礼盒2025新款,1284.91,山东,1万+人付款,优品礼品店旗舰店,回头客5万,,,,,,
\t360436573150,医药健康,计生用品,计生用品2025新款,892.27,江苏,2万+人付款,诚信医药店,回头客10万,,,,,,
\t203061359403,玩具乐器,模型,模型官方正品,2178,江西,2万+人付款,品质玩具店,回头客10万,,,,,,
\t183863630721,家居生活,装饰,装饰官方正品家用,2043.58,四川,1万+人付款,时尚家居店,5年老店,,退货宝,,,,
\t449717184562,运动户外,运动鞋,冬季运动鞋百搭热销,542.31,四川,1000+人付款,川时尚运动店专卖店,5年老店,,退货宝,休闲风,,宽松型,冬季
\t450703120010,汽车用品,装饰,装饰高品质,791.7,湖南,2000+人付款,诚信汽车店,回头客10万,,,,,,
\t444361369239,母婴用品,玩具,秋季玩具修身热销,843.46,福建,5000+人付款,闽品质母婴店旗舰店,5年老店,,退货宝,通勤风,羊毛,,
\t847824680422,宠物用品,食品,食品百搭热销,56.86,海南,5000+人付款,时尚宠物店,回头客1万,,退货宝,休闲风,,,
\t230165994352,礼品鲜花,永生花,永生花高品质,177.47,安徽,200+人付款,品质礼品店,皇冠店铺,,退货宝,,,,
\t702781103142,美妆护肤,彩妆,彩妆2025新款,861.91,广东,1000+人付款,品质美妆店,5年老店,,退货宝,,,,
\t837314401693,数码家电,家电,家电2025新款办公,5605.97,福建,500+人付款,闽诚信数码店,回头客1万,,,,,,
\t709539702155,数码家电,家电,家电高品质户外,5976.89,湖北,1万+人付款,优品数码店旗舰店,回头客1万,,,,,,
\t803003577836,图书音像,少儿,少儿官方正品,112.13,浙江,1000+人付款,时尚图书店,极速发货,,,,,,
\t503078139561,食品生鲜,肉类,肉类官方正品,232.49,河南,5万+人付款,豫诚信食品店,皇冠店铺,,退货宝,,,,
\t307712402477,图书音像,经管,经管2025新款,42.92,山西,500+人付款,时尚图书店,正品保障,先用后付,,,,,
\t178008460927,食品生鲜,肉类,肉类2025新款,487.95,福建,1000+人付款,品质食品店专卖店,回头客5万,,,,,,
\t248093145929,数码家电,手机,手机2025新款户外,1502.85,江苏,100+人付款,品质数码店旗舰店,正品保障,,退货宝,,,,
\t849535597577,农资园艺,花卉,花卉官方正品,366.5,江苏,2万+人付款,优品农资店,金牌卖家,,,,,,
\t589360376436,图书音像,经管,经管高品质,79.33,河南,5000+人付款,品质图书店专卖店,回头客10万,,,,,,
\t663479060062,母婴用品,纸尿裤,纸尿裤修身热销,243.26,山东,100+人付款,鲁时尚母婴店专卖店,,先用后付,,通勤风,聚酯纤维,,春秋季
\t495077100889,服饰鞋包,童装,童装宽松热销,112.99,四川,500+人付款,川品质服饰店,5年老店,,,,,修身型,春秋季
\t776059730712,数码家电,相机,相机官方正品户外,982.29,贵州,500+人付款,黔品质数码店旗舰店,8年老店,先用后付,,,,,
\t259829135494,服饰鞋包,箱包,秋季箱包宽松热销,777.74,澳门,1000+人付款,品质服饰店,,,,时尚风,丝光棉,宽松型,夏季
\t139823393825,宠物用品,用品,冬季用品修身正品,89.4,重庆,500+人付款,时尚宠物店旗舰店,正品保障,,退货宝,时尚风,,,春秋季
\t869875539034,食品生鲜,肉类,肉类高品质,420.65,湖南,500+人付款,品质食品店,5年老店,,,,,,
\t113266062657,运动户外,运动鞋,冬季运动鞋宽松正品,896,北京,500+人付款,诚信运动店旗舰店,回头客3千,,,通勤风,,宽松型,春秋季
\t533839524647,食品生鲜,水果,水果官方正品,221.28,广东,200+人付款,优品食品店专卖店,极速发货,,,,,,
\t575397052938,农资园艺,盆栽,盆栽高品质,305.45,浙江,1000+人付款,优品农资店旗舰店,回头客3千,,,,,,
\t738414135936,农资园艺,花卉,花卉官方正品,424.94,广东,1万+人付款,粤品质农资店专卖店,正品保障,,退货宝,,,,
\t361130044353,图书音像,经管,经管官方正品,104.6,浙江,1000+人付款,品质图书店,回头客10万,,,,,,
\t927166801812,美妆护肤,面部护理,面部护理高品质,857.19,青海,2000+人付款,品质美妆店,5年老店,,,,,,
\t372261852649,图书音像,社科,社科2025新款,50.06,云南,5000+人付款,滇品质图书店,皇冠店铺,,,,,,
\t539322153089,宠物用品,玩具,冬季玩具宽松热销,355.73,天津,5000+人付款,品质宠物店旗舰店,极速发货,,,,,,
\t165194453436,图书音像,社科,社科高品质,49.08,台湾,100+人付款,时尚图书店,回头客3千,,退货宝,,,,
\t419910952481,玩具乐器,乐器,乐器2025新款,330.4,湖南,2000+人付款,优品玩具店,5年老店,,,,,,
\t927254421688,服饰鞋包,童装,冬季童装修身热销,751.01,广东,2万+人付款,品质服饰店专卖店,8年老店,,,时尚风,纯棉,标准型,秋季
\t955418877003,食品生鲜,水果,水果官方正品,473.77,四川,1万+人付款,时尚食品店,回头客5万,先用后付,,,,,
\t268506599636,农资园艺,种子,种子高品质,618.65,云南,1000+人付款,诚信农资店,回头客1万,,,,,,
\t390690899780,母婴用品,玩具,玩具百搭热销,465.88,广东,5000+人付款,粤时尚母婴店,,,,,,,
\t918255099195,美妆护肤,美发,美发高品质,319.81,四川,500+人付款,品质美妆店旗舰店,回头客10万,,退货宝,,,,
\t490644697973,服饰鞋包,男装,男装百搭热销,840.15,浙江,500+人付款,浙优品服饰店专卖店,回头客5万,,,时尚风,纯棉,,春季
\t486377589738,汽车用品,电子,电子高品质,1103.31,四川,500+人付款,诚信汽车店,,,,,,,
\t618566197267,服饰鞋包,男装,秋季男装宽松正品,431.03,河北,200+人付款,时尚服饰店,8年老店,,退货宝,,纯棉,,
\t172199129891,数码家电,相机,相机2025新款家用,5075.39,浙江,1000+人付款,浙优品数码店专卖店,回头客5万,,,,,,
\t884431723808,农资园艺,种子,种子2025新款,118.68,台湾,5000+人付款,台优品农资店,回头客5万,,,,,,
\t556884284996,宠物用品,护理,护理宽松2025新款,316.82,北京,5000+人付款,京品质宠物店,8年老店,,,休闲风,,,
\t373264756544,钟表珠宝,手表,手表2025新款,2867.55,天津,2000+人付款,津品质钟表店,,先用后付,,,,,
\t472230254988,数码家电,手机,手机官方正品办公,5658.84,广东,2000+人付款,粤优品数码店,金牌卖家,,,,,,
\t127269362400,医药健康,药品,药品2025新款,778.22,福建,200+人付款,品质医药店,,,,,,,
\t741894936973,玩具乐器,益智玩具,益智玩具官方正品,1561.51,黑龙江,1万+人付款,黑品质玩具店专卖店,回头客5万,,退货宝,,,,
\t237579161034,玩具乐器,益智玩具,益智玩具官方正品,249.88,山东,1万+人付款,品质玩具店旗舰店,回头客5万,,,,,,
\t433450051345,宠物用品,服饰,秋季服饰修身正品,182.01,浙江,1000+人付款,浙时尚宠物店旗舰店,5年老店,,退货宝,通勤风,,,春季
\t971445108136,美妆护肤,香水,香水官方正品,412.06,甘肃,500+人付款,甘时尚美妆店,,,,,,,
\t115140912378,美妆护肤,面部护理,面部护理高品质,329.18,湖北,500+人付款,优品美妆店,,,,,,,
\t360507486979,农资园艺,花卉,花卉高品质,697.16,上海,50万+人付款,优品农资店,正品保障,,,,,,
\t283137342214,数码家电,手机,手机官方正品家用,400.07,福建,200+人付款,闽诚信数码店专卖店,极速发货,,,,,,
\t154414325250,玩具乐器,模型,模型2025新款,2107.28,云南,100+人付款,诚信玩具店,正品保障,,,,,,
\t930173021997,钟表珠宝,戒指,戒指高品质,2275.67,安徽,100+人付款,诚信钟表店旗舰店,5年老店,,,,,,
\t212428597472,礼品鲜花,鲜花,鲜花2025新款,583.5,广东,5000+人付款,粤品质礼品店,回头客3千,,,,,,
\t130865558300,数码家电,电脑,电脑高品质家用,4699.31,云南,500+人付款,品质数码店专卖店,回头客1万,,,,,,
\t805860273656,服饰鞋包,女装,夏季女装宽松2025新款,1060,甘肃,500+人付款,品质服饰店,正品保障,先用后付,,,羊毛,,夏季
\t264273453725,运动户外,运动服,运动服百搭2025新款,105.54,台湾,1000+人付款,台品质运动店专卖店,正品保障,先用后付,退货宝,,,,
\t914522925864,家居生活,家纺,家纺2025新款户外,125.87,河南,1000+人付款,优品家居店,正品保障,,,,,,
\t231532888973,母婴用品,辅食,辅食修身2025新款,706.67,上海,1万+人付款,诚信母婴店旗舰店,正品保障,,,,纯棉,,春秋季
\t995433315701,钟表珠宝,戒指,戒指2025新款,3171.51,上海,500+人付款,时尚钟表店旗舰店,皇冠店铺,,,,,,
\t376122677412,礼品鲜花,定制礼品,定制礼品高品质,1013.86,黑龙江,1万+人付款,黑品质礼品店,8年老店,,,,,,
\t282438487988,医药健康,医疗器械,医疗器械官方正品,881.17,浙江,1000+人付款,浙时尚医药店,5年老店,,,,,,
\t550361718931,数码家电,家电,家电官方正品家用,4696.78,河南,100+人付款,品质数码店,回头客5万,,,,,,
\t986254597378,家居生活,装饰,装饰高品质办公,2257.38,辽宁,1000+人付款,优品家居店,回头客1万,,,,,,
\t497414283581,服饰鞋包,箱包,箱包修身正品,1161.06,河北,1000+人付款,冀诚信服饰店,极速发货,,,通勤风,纯棉,,
\t457520585178,礼品鲜花,礼品,礼品官方正品,273.81,云南,200+人付款,诚信礼品店,,,,,,,
\t733105050923,数码家电,家电,家电高品质户外,2682.39,北京,200+人付款,品质数码店,8年老店,,,,,,
\t362024660718,宠物用品,食品,春季食品宽松2025新款,356.54,辽宁,200+人付款,辽品质宠物店专卖店,极速发货,,,,,,冬季
\t946562282471,运动户外,健身器材,春季健身器材宽松2025新款,1468.04,江苏,500+人付款,时尚运动店旗舰店,回头客1万,,,,,标准型,春季
\t738666493113,汽车用品,电子,电子2025新款,792.72,北京,1000+人付款,优品汽车店旗舰店,,,,,,,
\t898659598371,礼品鲜花,永生花,永生花2025新款,299.17,浙江,500+人付款,时尚礼品店旗舰店,8年老店,,,,,,
\t877668003138,礼品鲜花,永生花,永生花官方正品,1103.89,四川,200+人付款,优品礼品店,回头客10万,,,,,,
\t164760580918,宠物用品,护理,冬季护理百搭2025新款,81.68,浙江,500+人付款,品质宠物店,极速发货,先用后付,,,,,冬季
\t415459186310,家居生活,装饰,装饰高品质家用,400.39,辽宁,500+人付款,诚信家居店,,,,,,,
\t643549053946,钟表珠宝,手链,手链官方正品,2172.73,湖南,20万+人付款,湘品质钟表店专卖店,极速发货,,,,,,
\t848563947578,图书音像,社科,社科2025新款,28.93,安徽,1000+人付款,时尚图书店旗舰店,皇冠店铺,,,,,,
\t485926315847,农资园艺,农具,农具官方正品,229.33,四川,2万+人付款,诚信农资店,回头客3千,,,,,,
\t341175438684,宠物用品,用品,冬季用品宽松热销,234.09,广东,5万+人付款,诚信宠物店旗舰店,,,,休闲风,,,秋季
\t885582683297,医药健康,保健品,保健品官方正品,785.46,北京,10万+人付款,优品医药店旗舰店,极速发货,,,,,,
\t782767559117,母婴用品,玩具,秋季玩具宽松正品,315.45,黑龙江,1000+人付款,黑优品母婴店,回头客5万,先用后付,,,,,秋季
\t226436291444,母婴用品,奶粉,秋季奶粉百搭2025新款,64.69,黑龙江,20万+人付款,黑诚信母婴店,回头客3千,,,时尚风,纯棉,,秋季
\t808207692980,玩具乐器,手办,手办高品质,740.28,湖南,500+人付款,时尚玩具店旗舰店,5年老店,,,,,,
\t570451035670,礼品鲜花,定制礼品,定制礼品2025新款,287.31,陕西,500+人付款,诚信礼品店旗舰店,8年老店,,,,,,
\t597180402281,汽车用品,保养,保养官方正品,722.24,广西,1000+人付款,桂时尚汽车店,,,,,,,
\t558533632928,家居生活,家纺,家纺高品质户外,844.15,江苏,200+人付款,苏时尚家居店专卖店,8年老店,,,,,,
\t396686014384,钟表珠宝,手链,手链高品质,2907.45,河北,200+人付款,诚信钟表店,,,,,,,
\t510950410312,汽车用品,清洁,清洁高品质,334.84,广西,500+人付款,诚信汽车店专卖店,,,,,,,
\t181706189477,汽车用品,清洁,清洁官方正品,281.9,重庆,20万+人付款,诚信汽车店专卖店,金牌卖家,,,,,,
\t808774857698,礼品鲜花,礼盒,礼盒官方正品,413.22,上海,2000+人付款,诚信礼品店,金牌卖家,,,,,,
\t708051541042,运动户外,运动服,夏季运动服百搭热销,865.34,浙江,5000+人付款,时尚运动店,,,,时尚风,,,春秋季
\t361670801139,宠物用品,服饰,秋季服饰宽松正品,312.84,山东,200+人付款,时尚宠物店,回头客5万,,,休闲风,,,春秋季
\t379203286378,宠物用品,食品,冬季食品百搭2025新款,153.52,广东,2万+人付款,优品宠物店旗舰店,,,,通勤风,,,春季
\t457609735498,宠物用品,玩具,春季玩具百搭正品,324.58,西藏,2000+人付款,诚信宠物店,回头客1万,,,休闲风,,,春秋季
\t919780507136,宠物用品,用品,秋季用品宽松2025新款,350.76,浙江,5万+人付款,诚信宠物店旗舰店,回头客1万,,,,,,春秋季
\t632834670084,母婴用品,童装,童装宽松热销,1130.99,北京,1万+人付款,时尚母婴店,回头客5万,,,休闲风,丝光棉,,
\t122978761687,美妆护肤,身体护理,身体护理2025新款,868.09,上海,100+人付款,沪品质美妆店专卖店,5年老店,,,,,,
\t390923863574,汽车用品,安全,安全高品质,966.89,海南,200+人付款,时尚汽车店旗舰店,回头客1万,先用后付,,,,,
\t533322059322,医药健康,计生用品,计生用品高品质,363.74,浙江,2000+人付款,诚信医药店,回头客10万,,,,,,
\t187417414831,食品生鲜,肉类,肉类2025新款,473.26,宁夏,500+人付款,宁诚信食品店,8年老店,,,,,,
\t814640230897,汽车用品,安全,安全官方正品,592.42,新疆,1万+人付款,诚信汽车店,皇冠店铺,先用后付,,,,,
\t320325171604,数码家电,耳机,耳机高品质户外,1906.43,陕西,500+人付款,陕诚信数码店,回头客3千,,,,,,
\t213702924745,数码家电,耳机,耳机官方正品家用,3898.16,山西,100+人付款,品质数码店旗舰店,皇冠店铺,,,,,,
\t151527587688,汽车用品,清洁,清洁2025新款,1282.54,河北,200+人付款,品质汽车店,回头客1万,,,,,,
\t602955519047,玩具乐器,儿童玩具,儿童玩具高品质,1739.84,香港,100万+人付款,优品玩具店,回头客5万,,,,,,
\t138925406608,食品生鲜,粮油,粮油2025新款,42.57,云南,2000+人付款,诚信食品店,,,,,,,
\t634824141635,汽车用品,保养,保养高品质,567.92,河北,2000+人付款,诚信汽车店,回头客1万,,,,,,
\t703444836765,玩具乐器,乐器,乐器官方正品,2002.08,福建,20万+人付款,诚信玩具店专卖店,8年老店,,退货宝,,,,
\t994015617025,食品生鲜,粮油,粮油2025新款,205.03,海南,2000+人付款,品质食品店,5年老店,,,,,,
\t780604762809,玩具乐器,乐器,乐器官方正品,2187.09,山东,2000+人付款,鲁优品玩具店,,,,,,,
\t995396948129,玩具乐器,模型,模型高品质,1410.85,北京,1000+人付款,时尚玩具店,5年老店,,,,,,
\t966239036004,玩具乐器,益智玩具,益智玩具高品质,1050.32,四川,2万+人付款,优品玩具店旗舰店,皇冠店铺,,,,,,
\t491657983377,美妆护肤,美发,美发高品质,46,河南,5000+人付款,豫诚信美妆店专卖店,回头客1万,,退货宝,,,,
\t241082180102,礼品鲜花,礼盒,礼盒官方正品,1220.2,浙江,200+人付款,品质礼品店,,,,,,,
\t883616275359,数码家电,耳机,耳机2025新款办公,4635.39,上海,500+人付款,时尚数码店,回头客1万,,,,,,
\t674004710787,玩具乐器,乐器,乐器官方正品,2109.78,江苏,1000+人付款,时尚玩具店,回头客5万,,,,,,
\t408390978469,汽车用品,保养,保养官方正品,73.68,河北,1000+人付款,冀品质汽车店,正品保障,先用后付,,,,,
\t905657588312,数码家电,家电,家电2025新款办公,3103.04,广西,5000+人付款,品质数码店,8年老店,,,,,,
\t301583475874,美妆护肤,彩妆,彩妆2025新款,339.59,河北,2000+人付款,品质美妆店旗舰店,回头客1万,,,,,,
\t391199139216,医药健康,药品,药品高品质,1164,安徽,100+人付款,品质医药店,极速发货,,,,,,
\t234534033288,母婴用品,纸尿裤,夏季纸尿裤宽松热销,423.79,广西,5000+人付款,优品母婴店,极速发货,,,,羊毛,,
\t337376466056,宠物用品,服饰,冬季服饰宽松2025新款,240.01,北京,1000+人付款,优品宠物店,正品保障,,,休闲风,,,夏季
\t787401296847,农资园艺,花卉,花卉2025新款,317.23,江苏,2000+人付款,诚信农资店旗舰店,皇冠店铺,,,,,,
\t550858859778,美妆护肤,美发,美发2025新款,32.89,河北,2万+人付款,优品美妆店专卖店,皇冠店铺,,退货宝,,,,
\t616688727860,美妆护肤,美发,美发2025新款,243.14,辽宁,1000+人付款,品质美妆店,8年老店,,,,,,
